"sale_price","living_area","basement_area","overall_quality","year_built","neighborhood","garage_capacity","sale_price_bc"
215000,1656,1080,"Above_Average",1960,"North_Ames",2,82.1330064284103
105000,896,882,"Average",1961,"North_Ames",1,68.0041148735702
172000,1329,1329,"Above_Average",1958,"North_Ames",1,77.4595680878856
244000,2110,2110,"Good",1968,"North_Ames",2,84.9011641236841
189900,1629,928,"Average",1997,"Gilbert",2,79.5009146191842
195500,1604,926,"Above_Average",1998,"Gilbert",2,80.1098157780584
213500,1338,1338,"Very_Good",2001,"Stone_Brook",2,81.9823797843178
191500,1280,1280,"Very_Good",1992,"Stone_Brook",2,79.6762455888954
236500,1616,1595,"Very_Good",1995,"Stone_Brook",2,84.2099909653335
189000,1804,994,"Good",1999,"Gilbert",2,79.4018035666551
175900,1655,763,"Above_Average",1993,"Gilbert",2,77.9174549907616
185000,1187,1168,"Above_Average",1992,"Gilbert",2,78.956978088851
180400,1465,789,"Above_Average",1998,"Gilbert",2,78.436420265017
171500,1341,1300,"Good",1990,"Gilbert",2,77.4003031755507
212000,1502,1488,"Very_Good",1985,"Stone_Brook",2,81.8309573362761
538000,3279,1650,"Very_Good",2003,"Stone_Brook",3,104.331700463766
164000,1752,559,"Very_Good",1988,"Gilbert",2,76.4953797060509
394432,1856,1856,"Excellent",2010,"Stone_Brook",3,96.2427625635094
141000,864,864,"Below_Average",1951,"Gilbert",2,73.5112551425014
210000,2073,1542,"Above_Average",1978,"Northwest_Ames",2,81.6278057171229
190000,1844,1844,"Above_Average",1977,"Northwest_Ames",2,79.5119051971938
170000,1173,1053,"Good",1974,"Northwest_Ames",2,77.2217273947572
216000,1674,814,"Good",2000,"Somerset",2,82.2329868711402
149000,1004,1004,"Above_Average",1970,"North_Ames",2,74.5880582594965
149900,1078,1078,"Average",1971,"North_Ames",2,74.7064636382165
142000,1056,1056,"Average",1968,"North_Ames",1,73.6483224419779
126000,882,882,"Below_Average",1970,"North_Ames",2,71.3620368075043
115000,864,864,"Below_Average",1971,"North_Ames",0,69.6604642023129
184000,1337,1405,"Good",1999,"North_Ames",2,78.8446461073298
96000,987,483,"Above_Average",1971,"Briardale",1,66.4089389434715
105500,1092,525,"Average",1971,"Briardale",1,68.0896814117787
88000,1092,525,"Above_Average",1971,"Briardale",1,64.8938823970694
127500,1069,1069,"Above_Average",1977,"Northpark_Villa",2,71.5853341782272
149900,1456,855,"Above_Average",1975,"Northpark_Villa",2,74.7064636382165
120000,836,836,"Good",1975,"Northpark_Villa",1,70.448388728168
146000,1456,855,"Above_Average",1978,"Northpark_Villa",2,74.1894584701397
376162,2334,1590,"Excellent",2009,"Northridge_Heights",3,95.0612312364122
306000,1704,1704,"Very_Good",2007,"Northridge_Heights",3,90.0784921169614
395192,1940,1930,"Excellent",2009,"Northridge_Heights",3,96.2910151860265
290941,1544,1544,"Very_Good",2009,"Northridge_Heights",3,88.8990393645446
220000,1541,1541,"Good",2005,"Northridge_Heights",2,82.6294708267197
275000,1698,1698,"Excellent",2005,"Northridge_Heights",3,87.5995130192361
259000,1822,1822,"Very_Good",2005,"Northridge_Heights",3,86.2370589946263
214000,1535,1517,"Good",2004,"Northridge_Heights",2,82.032676605933
611657,2364,2330,"Excellent",2009,"Northridge_Heights",3,107.863133068223
224000,1358,1358,"Good",2009,"Northridge_Heights",2,83.0205844749822
500000,2696,2846,"Excellent",2003,"Northridge_Heights",3,102.3659179389
320000,2250,1671,"Very_Good",2002,"Northridge_Heights",3,91.1365692002177
319900,1752,1752,"Excellent",2005,"Northridge_Heights",2,91.1291357845888
205000,1370,1370,"Very_Good",2006,"Northridge_Heights",2,81.113501340915
175500,1626,764,"Good",2003,"Northridge_Heights",2,77.8708447556827
199500,1324,1324,"Above_Average",2005,"Gilbert",2,80.5367828753894
160000,1145,1145,"Good",2006,"Bloomington_Heights",2,76
192000,1269,1256,"Very_Good",2004,"Bloomington_Heights",2,79.7308111513684
184500,1374,384,"Good",2004,"Gilbert",2,78.9008691774257
216500,1960,860,"Above_Average",2002,"Gilbert",2,82.2828469595457
185088,1733,847,"Good",2004,"Gilbert",2,78.96684148376
180000,1430,384,"Good",2000,"Gilbert",2,78.3906857562847
222500,2035,884,"Good",2001,"Gilbert",2,82.8745354269321
333168,2599,1393,"Excellent",1999,"Northridge",3,92.1005364033968
355000,2475,1629,"Very_Good",1998,"Northridge",3,93.6375963973427
260400,1720,1720,"Good",1996,"Northridge",2,86.3587545630791
325000,2622,1463,"Very_Good",1994,"Northridge",2,91.506038556696
290000,2270,1152,"Very_Good",1999,"Northridge",3,88.8238314842433
